invoice_id,branch,city,customer_type,gender_customer,product_line,unit_cost,quantity,5pct_markup,revenue,date,time,payment_method,cogs,gm_pct,gross_income,rating
574-22-5561,C,Naypyitaw,Membro,Feminino,Acessórios de moda,82.63,10,41315,867615,3/19/2019,17:08,Cartão de débito,826.3,4.761904762,41315,7.9
326-78-5178,C,Naypyitaw,Membro,Masculino,Comida e bebidas,91.4,7,31.99,671.79,02/03/19,10:19,Dinheiro,639.8,4.761904762,31.99,9.5
162-48-8011,A,Yangon,Membro,Feminino,Comida e bebidas,44.59,5,11.1475,234.0975,02/10/19,15:10,Dinheiro,222.95,4.761904762,11.1475,8.5
616-24-2851,B,Mandalay,Membro,Feminino,Acessórios de moda,17.87,4,3574,75054,3/22/2019,14:42,Cartão de débito,71.48,4.761904762,3574,6.5
778-71-5554,C,Naypyitaw,Membro,Masculino,Acessórios de moda,15.43,1,0.7715,16.2015,1/25/2019,15:46,Cartão de crédito,15.43,4.761904762,0.7715,6.1
242-55-6721,B,Mandalay,Normal,Masculino,Casa e estilo de vida,16.16,2,1616,33936,03/07/19,11:49,Cartão de débito,32.32,4.761904762,1616,6.5
399-46-5918,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,85.98,8,34392,722232,2/28/2019,19:01,Dinheiro,687.84,4.761904762,34392,8.2
106-35-6779,A,Yangon,Membro,Masculino,Casa e estilo de vida,44.34,2,4434,93114,3/27/2019,11:26,Dinheiro,88.68,4.761904762,4434,5.8
635-40-6220,A,Yangon,Normal,Masculino,Saúde e beleza,89.6,8,35.84,752.64,02/07/19,11:28,Cartão de débito,716.8,4.761904762,35.84,6.6
817-48-8732,A,Yangon,Membro,Feminino,Casa e estilo de vida,72.35,10,36175,759675,1/20/2019,15:55,Dinheiro,723.5,4.761904762,36175,5.4
120-06-4233,C,Naypyitaw,Normal,Masculino,Acessórios eletrônicos,30.61,6,9183,192843,03/12/19,20:36,Dinheiro,183.66,4.761904762,9183,9.3
285-68-5083,C,Naypyitaw,Membro,Feminino,Esportes e viagem,24.74,3,3711,77931,2/15/2019,17:47,Cartão de crédito,74.22,4.761904762,3711,10
803-83-5989,C,Naypyitaw,Normal,Masculino,Casa e estilo de vida,55.73,6,16719,351099,2/24/2019,10:55,Cartão de débito,334.38,4.761904762,16719,7
347-34-2234,B,Mandalay,Membro,Feminino,Esportes e viagem,55.07,9,24.7815,520.4115,02/03/19,13:40,Cartão de débito,495.63,4.761904762,24.7815,10
199-75-8169,A,Yangon,Membro,Masculino,Esportes e viagem,15.81,10,7905,166005,03/06/19,12:27,Cartão de crédito,158.1,4.761904762,7905,8.6
853-23-2453,B,Mandalay,Membro,Masculino,Saúde e beleza,75.74,4,15148,318108,2/14/2019,14:35,Dinheiro,302.96,4.761904762,15148,7.6
877-22-3308,A,Yangon,Membro,Masculino,Saúde e beleza,15.87,10,7935,166635,3/13/2019,16:40,Dinheiro,158.7,4.761904762,7935,5.8
838-78-4295,C,Naypyitaw,Normal,Feminino,Saúde e beleza,33.47,2,3347,70287,02/10/19,15:43,Cartão de débito,66.94,4.761904762,3347,6.7
109-28-2512,B,Mandalay,Membro,Feminino,Acessórios de moda,97.61,6,29283,614943,01/07/19,15:01,Cartão de débito,585.66,4.761904762,29283,9.9
232-11-3025,A,Yangon,Normal,Masculino,Esportes e viagem,78.77,10,39385,827085,1/24/2019,10:04,Dinheiro,787.7,4.761904762,39385,6.4
382-03-4532,A,Yangon,Membro,Feminino,Saúde e beleza,18.33,1,0.9165,19.2465,02/02/19,18:50,Dinheiro,18.33,4.761904762,0.9165,4.3
393-65-2792,C,Naypyitaw,Normal,Masculino,Comida e bebidas,89.48,10,44.74,939.54,01/06/19,12:46,Cartão de crédito,894.8,4.761904762,44.74,9.6
796-12-2025,C,Naypyitaw,Normal,Masculino,Acessórios de moda,62.12,10,31.06,652.26,02/11/19,16:19,Dinheiro,621.2,4.761904762,31.06,5.9
510-95-6347,B,Mandalay,Membro,Feminino,Comida e bebidas,48.52,3,7278,152838,03/05/19,18:17,Cartão de débito,145.56,4.761904762,7278,4
841-35-6630,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,75.91,6,22773,478233,03/09/19,18:21,Dinheiro,455.46,4.761904762,22773,8.7
287-21-9091,A,Yangon,Normal,Masculino,Casa e estilo de vida,74.67,9,33.6015,705.6315,1/22/2019,10:55,Cartão de débito,672.03,4.761904762,33.6015,9.4
732-94-0499,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,41.65,10,20825,437325,1/13/2019,17:04,Cartão de crédito,416.5,4.761904762,20825,5.4
263-10-3913,C,Naypyitaw,Membro,Masculino,Acessórios de moda,49.04,9,22068,463428,01/09/19,14:20,Cartão de crédito,441.36,4.761904762,22068,8.6
381-20-0914,A,Yangon,Membro,Feminino,Acessórios de moda,20.01,9,9.0045,189.0945,01/12/19,15:48,Cartão de crédito,180.09,4.761904762,9.0045,5.7
829-49-1914,C,Naypyitaw,Membro,Feminino,Comida e bebidas,78.31,10,39155,822255,03/05/19,16:24,Cartão de débito,783.1,4.761904762,39155,6.6
756-01-7507,C,Naypyitaw,Normal,Feminino,Saúde e beleza,20.38,5,5095,106995,1/22/2019,18:56,Dinheiro,101.9,4.761904762,5095,6
870-72-4431,C,Naypyitaw,Normal,Feminino,Saúde e beleza,99.19,6,29757,624897,1/21/2019,14:42,Cartão de crédito,595.14,4.761904762,29757,5.5
847-38-7188,B,Mandalay,Normal,Feminino,Comida e bebidas,96.68,3,14502,304542,1/26/2019,19:56,Cartão de débito,290.04,4.761904762,14502,6.4
480-63-2856,C,Naypyitaw,Normal,Masculino,Comida e bebidas,19.25,8,7.7,161.7,1/23/2019,18:37,Cartão de débito,154,4.761904762,7.7,6.6
787-56-0757,C,Naypyitaw,Membro,Feminino,Comida e bebidas,80.36,4,16072,337512,2/23/2019,18:45,Cartão de crédito,321.44,4.761904762,16072,8.3
360-39-5055,C,Naypyitaw,Membro,Masculino,Esportes e viagem,48.91,5,12.2275,256.7775,03/09/19,10:17,Dinheiro,244.55,4.761904762,12.2275,6.6
730-50-9884,C,Naypyitaw,Normal,Feminino,Esportes e viagem,83.06,7,29071,610491,03/05/19,14:31,Cartão de débito,581.42,4.761904762,29071,4
362-58-8315,C,Naypyitaw,Normal,Masculino,Acessórios de moda,76.52,5,19.13,401.73,3/25/2019,10:23,Dinheiro,382.6,4.761904762,19.13,9.9
633-44-8566,A,Yangon,Membro,Masculino,Comida e bebidas,49.38,7,17283,362943,3/27/2019,20:35,Cartão de crédito,345.66,4.761904762,17283,7.3
504-35-8843,A,Yangon,Normal,Masculino,Esportes e viagem,42.47,1,2.1235,44.5935,01/02/19,16:57,Dinheiro,42.47,4.761904762,2.1235,5.7
318-68-5053,B,Mandalay,Normal,Feminino,Saúde e beleza,76.99,6,23097,485037,2/27/2019,17:55,Dinheiro,461.94,4.761904762,23097,6.1
565-80-5980,C,Naypyitaw,Membro,Feminino,Casa e estilo de vida,47.38,4,9476,198996,1/23/2019,10:25,Dinheiro,189.52,4.761904762,9476,7.1
225-32-0908,C,Naypyitaw,Normal,Feminino,Esportes e viagem,44.86,10,22.43,471.03,1/26/2019,19:54,Cartão de débito,448.6,4.761904762,22.43,8.2
873-51-0671,A,Yangon,Membro,Feminino,Esportes e viagem,21.98,7,7693,161553,01/10/19,16:42,Cartão de débito,153.86,4.761904762,7693,5.1
152-08-9985,B,Mandalay,Membro,Masculino,Saúde e beleza,64.36,9,28962,608202,03/12/19,12:09,Cartão de crédito,579.24,4.761904762,28962,8.6
512-91-0811,C,Naypyitaw,Normal,Masculino,Saúde e beleza,89.75,1,4.4875,94.2375,02/06/19,20:05,Cartão de crédito,89.75,4.761904762,4.4875,6.6
594-34-4444,A,Yangon,Normal,Masculino,Acessórios eletrônicos,97.16,1,4858,102018,03/08/19,20:38,Cartão de débito,97.16,4.761904762,4858,7.2
766-85-7061,B,Mandalay,Normal,Masculino,Saúde e beleza,87.87,10,43935,922635,3/29/2019,10:25,Cartão de débito,878.7,4.761904762,43935,5.1
871-39-9221,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,12.45,6,3735,78435,02/09/19,13:11,Dinheiro,74.7,4.761904762,3735,4.1
865-92-6136,A,Yangon,Normal,Masculino,Comida e bebidas,52.75,3,7.9125,166.1625,3/23/2019,10:16,Cartão de débito,158.25,4.761904762,7.9125,9.3
733-01-9107,B,Mandalay,Normal,Masculino,Casa e estilo de vida,82.7,6,24.81,521.01,03/05/19,18:14,Dinheiro,496.2,4.761904762,24.81,7.4
163-56-7055,C,Naypyitaw,Membro,Masculino,Acessórios de moda,48.71,1,2.4355,51.1455,3/26/2019,19:20,Dinheiro,48.71,4.761904762,2.4355,4.1
189-98-2939,C,Naypyitaw,Normal,Masculino,Acessórios de moda,78.55,9,35.3475,742.2975,03/01/19,13:22,Dinheiro,706.95,4.761904762,35.3475,7.2
551-21-3069,C,Naypyitaw,Normal,Feminino,Acessórios eletrônicos,23.07,9,10.3815,218.0115,02/01/19,11:27,Dinheiro,207.63,4.761904762,10.3815,4.9
212-62-1842,A,Yangon,Normal,Masculino,Comida e bebidas,58.26,6,17478,367038,3/28/2019,16:44,Dinheiro,349.56,4.761904762,17478,9.9
716-39-1409,B,Mandalay,Normal,Masculino,Saúde e beleza,30.35,7,10.6225,223.0725,3/19/2019,18:19,Dinheiro,212.45,4.761904762,10.6225,8
704-48-3927,A,Yangon,Membro,Masculino,Acessórios eletrônicos,88.67,10,44335,931035,01/12/19,14:50,Cartão de débito,886.7,4.761904762,44335,7.3
628-34-3388,C,Naypyitaw,Normal,Masculino,Acessórios de moda,27.38,6,8214,172494,01/05/19,20:54,Cartão de crédito,164.28,4.761904762,8214,7.9
630-74-5166,A,Yangon,Normal,Masculino,Esportes e viagem,62.13,6,18639,391419,3/22/2019,20:19,Dinheiro,372.78,4.761904762,18639,7.4
588-01-7461,C,Naypyitaw,Normal,Feminino,Comida e bebidas,33.98,9,15291,321111,3/24/2019,10:43,Dinheiro,305.82,4.761904762,15291,4.2
861-77-0145,C,Naypyitaw,Membro,Masculino,Acessórios eletrônicos,81.97,10,40985,860685,03/03/19,14:30,Dinheiro,819.7,4.761904762,40985,9.2
479-26-8945,B,Mandalay,Membro,Feminino,Esportes e viagem,16.49,2,1649,34629,02/05/19,11:32,Cartão de débito,32.98,4.761904762,1649,4.6
210-67-5886,C,Naypyitaw,Membro,Feminino,Saúde e beleza,98.21,3,14.7315,309.3615,02/05/19,10:41,Cartão de crédito,294.63,4.761904762,14.7315,7.8
227-78-1148,B,Mandalay,Normal,Feminino,Acessórios de moda,72.84,7,25494,535374,2/15/2019,12:44,Dinheiro,509.88,4.761904762,25494,8.4
645-44-1170,A,Yangon,Membro,Masculino,Casa e estilo de vida,58.07,9,26.1315,548.7615,1/19/2019,20:07,Cartão de débito,522.63,4.761904762,26.1315,4.3
237-01-6122,C,Naypyitaw,Membro,Feminino,Casa e estilo de vida,80.79,9,36.3555,763.4655,02/01/19,20:31,Cartão de crédito,727.11,4.761904762,36.3555,9.5
225-98-1496,C,Naypyitaw,Normal,Feminino,Acessórios de moda,27.02,3,4053,85113,03/02/19,13:01,Cartão de crédito,81.06,4.761904762,4053,7.1
291-32-1427,B,Mandalay,Membro,Masculino,Acessórios de moda,21.94,5,5485,115185,03/05/19,12:29,Cartão de débito,109.7,4.761904762,5485,5.3
659-65-8956,B,Mandalay,Membro,Masculino,Acessórios de moda,51.36,1,2568,53928,1/16/2019,15:26,Cartão de débito,51.36,4.761904762,2568,5.2
642-32-2990,A,Yangon,Normal,Feminino,Comida e bebidas,10.96,10,5.48,115.08,02/02/19,20:48,Cartão de débito,109.6,4.761904762,5.48,6
378-24-2715,B,Mandalay,Normal,Masculino,Casa e estilo de vida,53.44,2,5344,112224,1/20/2019,20:38,Cartão de débito,106.88,4.761904762,5344,4.1
638-60-7125,A,Yangon,Normal,Feminino,Acessórios eletrônicos,99.56,8,39824,836304,2/14/2019,17:03,Cartão de crédito,796.48,4.761904762,39824,5.2
659-36-1684,C,Naypyitaw,Membro,Masculino,Esportes e viagem,57.12,7,19992,419832,01/12/19,12:02,Cartão de crédito,399.84,4.761904762,19992,6.5
219-22-9386,B,Mandalay,Membro,Masculino,Esportes e viagem,99.96,9,44982,944622,03/09/19,17:26,Cartão de crédito,899.64,4.761904762,44982,4.2
336-78-2147,C,Naypyitaw,Membro,Masculino,Casa e estilo de vida,63.91,8,25564,536844,3/13/2019,19:52,Cartão de crédito,511.28,4.761904762,25564,4.6
268-27-6179,B,Mandalay,Membro,Feminino,Acessórios de moda,56.47,8,22588,474348,03/09/19,14:57,Cartão de débito,451.76,4.761904762,22588,7.3
668-90-8900,A,Yangon,Normal,Feminino,Casa e estilo de vida,93.69,7,32.7915,688.6215,03/10/19,18:44,Cartão de crédito,655.83,4.761904762,32.7915,4.5
870-54-3162,A,Yangon,Normal,Feminino,Esportes e viagem,32.25,5,8.0625,169.3125,1/27/2019,13:26,Dinheiro,161.25,4.761904762,8.0625,9
189-08-9157,C,Naypyitaw,Normal,Feminino,Acessórios de moda,31.73,9,14.2785,299.8485,01/08/19,16:17,Cartão de crédito,285.57,4.761904762,14.2785,5.9
663-86-9076,C,Naypyitaw,Membro,Feminino,Comida e bebidas,68.54,8,27416,575736,01/08/19,15:57,Cartão de débito,548.32,4.761904762,27416,8.5
549-84-7482,B,Mandalay,Normal,Feminino,Esportes e viagem,90.28,9,40626,853146,02/08/19,11:15,Cartão de débito,812.52,4.761904762,40626,7.2
191-10-6171,B,Mandalay,Normal,Feminino,Acessórios de moda,39.62,7,13867,291207,1/25/2019,13:18,Dinheiro,277.34,4.761904762,13867,7.5
802-70-5316,A,Yangon,Membro,Feminino,Esportes e viagem,92.13,6,27639,580419,03/06/19,20:34,Dinheiro,552.78,4.761904762,27639,8.3
695-51-0018,B,Mandalay,Normal,Feminino,Esportes e viagem,34.84,4,6968,146328,02/10/19,18:36,Dinheiro,139.36,4.761904762,6968,7.4
590-83-4591,B,Mandalay,Membro,Masculino,Acessórios eletrônicos,87.45,6,26235,550935,2/17/2019,14:40,Cartão de crédito,524.7,4.761904762,26235,8.8
483-71-1164,C,Naypyitaw,Normal,Feminino,Saúde e beleza,81.3,6,24.39,512.19,03/08/19,16:43,Cartão de débito,487.8,4.761904762,24.39,5.3
597-78-7908,C,Naypyitaw,Normal,Masculino,Acessórios de moda,90.22,3,13533,284193,2/18/2019,19:39,Dinheiro,270.66,4.761904762,13533,6.2
700-81-1757,A,Yangon,Normal,Feminino,Acessórios eletrônicos,26.31,5,6.5775,138.1275,1/18/2019,20:59,Cartão de crédito,131.55,4.761904762,6.5775,8.8
354-39-5160,A,Yangon,Membro,Feminino,Casa e estilo de vida,34.42,6,10326,216846,2/18/2019,15:39,Dinheiro,206.52,4.761904762,10326,9.8
241-72-9525,B,Mandalay,Normal,Masculino,Esportes e viagem,51.91,10,25955,545055,2/16/2019,12:21,Dinheiro,519.1,4.761904762,25955,8.2
575-30-8091,A,Yangon,Normal,Masculino,Esportes e viagem,72.5,8,29,609,3/16/2019,19:25,Cartão de débito,580,4.761904762,29,9.2
731-81-9469,C,Naypyitaw,Membro,Feminino,Esportes e viagem,89.8,10,44.9,942.9,1/23/2019,13:00,Cartão de crédito,898,4.761904762,44.9,5.4
280-17-4359,C,Naypyitaw,Membro,Masculino,Saúde e beleza,90.5,10,45.25,950.25,1/25/2019,13:48,Dinheiro,905,4.761904762,45.25,8.1
338-65-2210,C,Naypyitaw,Membro,Feminino,Saúde e beleza,68.6,10,34.3,720.3,02/05/19,19:57,Dinheiro,686,4.761904762,34.3,9.1
488-25-4221,C,Naypyitaw,Membro,Feminino,Comida e bebidas,30.41,1,1.5205,31.9305,2/22/2019,10:36,Cartão de crédito,30.41,4.761904762,1.5205,8.4
239-10-7476,A,Yangon,Normal,Feminino,Casa e estilo de vida,77.95,6,23385,491085,1/21/2019,16:37,Cartão de débito,467.7,4.761904762,23385,8
458-41-1477,C,Naypyitaw,Normal,Feminino,Saúde e beleza,46.26,6,13878,291438,03/08/19,17:11,Cartão de crédito,277.56,4.761904762,13878,9.5
685-64-1609,A,Yangon,Membro,Feminino,Acessórios de moda,30.14,10,15.07,316.47,02/10/19,12:28,Cartão de débito,301.4,4.761904762,15.07,9.2
568-90-5112,C,Naypyitaw,Normal,Masculino,Saúde e beleza,66.14,4,13228,277788,3/19/2019,12:46,Cartão de crédito,264.56,4.761904762,13228,5.6
262-47-2794,B,Mandalay,Membro,Masculino,Casa e estilo de vida,71.86,8,28744,603624,03/06/19,15:07,Cartão de crédito,574.88,4.761904762,28744,6.2
238-49-0436,A,Yangon,Normal,Masculino,Saúde e beleza,32.46,8,12984,272664,3/27/2019,13:48,Cartão de crédito,259.68,4.761904762,12984,4.9
608-96-3517,B,Mandalay,Membro,Feminino,Acessórios de moda,91.54,4,18308,384468,3/23/2019,19:20,Cartão de crédito,366.16,4.761904762,18308,4.8
584-86-7256,C,Naypyitaw,Membro,Masculino,Esportes e viagem,34.56,7,12096,254016,03/11/19,16:07,Cartão de crédito,241.92,4.761904762,12096,7.3
746-94-0204,A,Yangon,Normal,Masculino,Acessórios de moda,83.24,9,37458,786618,1/29/2019,11:56,Cartão de crédito,749.16,4.761904762,37458,7.4
214-17-6927,C,Naypyitaw,Normal,Feminino,Comida e bebidas,16.48,6,4944,103824,02/07/19,18:23,Cartão de débito,98.88,4.761904762,4944,9.9
400-89-4171,C,Naypyitaw,Normal,Feminino,Esportes e viagem,80.97,8,32388,680148,1/28/2019,13:05,Dinheiro,647.76,4.761904762,32388,9.3
782-95-9291,A,Yangon,Membro,Masculino,Comida e bebidas,92.29,5,23.0725,484.5225,2/20/2019,15:55,Cartão de crédito,461.45,4.761904762,23.0725,9
279-74-2924,B,Mandalay,Membro,Masculino,Acessórios eletrônicos,72.17,1,3.6085,75.7785,01/04/19,19:40,Dinheiro,72.17,4.761904762,3.6085,6.1
307-85-2293,B,Mandalay,Normal,Masculino,Casa e estilo de vida,50.28,5,12.57,263.97,03/07/19,13:58,Cartão de débito,251.4,4.761904762,12.57,9.7
743-04-1105,B,Mandalay,Membro,Masculino,Saúde e beleza,97.22,9,43749,918729,3/30/2019,14:43,Cartão de débito,874.98,4.761904762,43749,6
423-57-2993,B,Mandalay,Normal,Masculino,Esportes e viagem,93.39,6,28017,588357,3/27/2019,19:18,Cartão de débito,560.34,4.761904762,28017,10
894-41-5205,C,Naypyitaw,Normal,Feminino,Comida e bebidas,43.18,8,17272,362712,1/19/2019,19:39,Cartão de crédito,345.44,4.761904762,17272,8.3
275-28-0149,A,Yangon,Normal,Masculino,Esportes e viagem,63.69,1,3.1845,66.8745,2/25/2019,16:21,Dinheiro,63.69,4.761904762,3.1845,6
101-17-6199,A,Yangon,Normal,Masculino,Comida e bebidas,45.79,7,16.0265,336.5565,3/13/2019,19:44,Cartão de crédito,320.53,4.761904762,16.0265,7
423-80-0988,C,Naypyitaw,Normal,Masculino,Esportes e viagem,76.4,2,7.64,160.44,1/30/2019,19:42,Cartão de débito,152.8,4.761904762,7.64,6.5
548-46-9322,B,Mandalay,Normal,Masculino,Comida e bebidas,39.9,10,19.95,418.95,2/20/2019,15:24,Cartão de crédito,399,4.761904762,19.95,5.9
505-02-0892,B,Mandalay,Membro,Masculino,Saúde e beleza,42.57,8,17028,357588,2/25/2019,14:12,Cartão de débito,340.56,4.761904762,17028,5.6
